Surrogate Keys,Cost (Dollars),Month,Year,Quantity (g),Grams,Calories,Protein,Fat,Fiber,Sat.Fat,Carbs,Multiplier,Inflation,Population,GDP (Millions),Almonds,Avocado,Bacon,Butter,Olive oil,Peanut butter,Peanuts,Salmon,Sunflower seeds,Sweet potatoes,Condiments,Dairy,Fruits,Meat,Snacks,Vegetables,Alberta,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan,cold continental,continental,eastern-maritime,humid continental,prairie-steppe,semi-continental,western maritime,isoutlier
793,7.04,1,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,6.1,39498018,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
797,7.19,1,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,6.1,820943,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
799,6.87,1,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,6.1,15378179,1631204.1109999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
804,6.75,2,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,6.0,39498018,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
808,7.3,2,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,6.0,820943,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
810,6.54,2,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,6.0,15378179,1631204.1109999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
815,6.79,3,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,5.7,39498018,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
819,6.68,3,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,5.7,820943,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
821,6.82,3,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,5.7,15378179,1631204.1109999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
826,6.59,4,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,5.6,39739633,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
830,6.94,4,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,5.6,826622,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
832,6.79,4,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,5.6,15457075,1631204.1109999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
837,6.33,5,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,5.2,39739633,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
841,6.88,5,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,5.2,826622,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
843,6.1,5,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,5.2,15457075,1631204.1109999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
848,6.46,6,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,5.1,39739633,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
852,6.9,6,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,5.1,826622,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
854,6.2,6,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,5.1,15457075,1631204.1109999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
859,6.62,7,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,4.8,40097761,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
863,6.98,7,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,4.8,834691,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
865,6.3,7,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,4.8,15608369,1631204.1109999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
870,6.67,8,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,4.8,40097761,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
874,7.12,8,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,4.8,834691,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
876,6.44,8,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,4.8,15608369,1631204.1109999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
881,7.33,9,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,4.4,40097761,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
885,7.11,9,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,4.4,834691,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
887,7.3,9,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,4.4,15608369,1631204.1109999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
892,6.9,10,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,4.2,40528396,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
896,6.94,10,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,4.2,842725,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
898,7.43,10,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,4.2,15801768,1631204.1109999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
903,6.67,11,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,3.9,40528396,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
907,7.13,11,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,3.9,842725,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
909,6.7,11,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,3.9,15801768,1631204.1109999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
914,7.0,12,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,3.9,40528396,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
918,6.9,12,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,3.9,842725,8457425.641999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
920,7.06,12,2023,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,3.9,15801768,1631204.1109999998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
925,24.83,1,2017,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,1.2,36313068,6175637.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
927,19.92,1,2017,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,1.2,147811,19603.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,outlier
936,24.66,2,2017,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,1.2,36313068,6175637.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
938,20.17,2,2017,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,1.2,147811,19603.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,outlier
947,24.3,3,2017,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,1.1,36313068,6175637.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
949,19.8,3,2017,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,1.1,147811,19603.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,outlier
958,23.11,4,2017,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,1.1,36397141,6175637.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
960,19.3,4,2017,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,1.1,148354,19603.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,outlier
969,24.02,5,2017,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,1.0,36397141,6175637.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
971,19.85,5,2017,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,1.0,148354,19603.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,outlier
980,23.85,6,2017,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,1.1,36397141,6175637.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
982,20.33,6,2017,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,1.1,148354,19603.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,outlier
1717,28.93,1,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,6.1,39498018,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
1721,24.79,1,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,6.1,820943,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
1723,29.38,1,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,6.1,15378179,1631204.1109999998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
1728,28.32,2,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,6.0,39498018,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
1732,25.82,2,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,6.0,820943,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
1734,29.74,2,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,6.0,15378179,1631204.1109999998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
1739,29.1,3,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,5.7,39498018,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
1743,25.89,3,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,5.7,820943,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
1745,30.66,3,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,5.7,15378179,1631204.1109999998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
1750,28.21,4,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,5.6,39739633,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
1754,24.43,4,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,5.6,826622,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
1756,29.8,4,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,5.6,15457075,1631204.1109999998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
1761,29.09,5,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,5.2,39739633,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
1765,27.35,5,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,5.2,826622,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
1767,30.53,5,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,5.2,15457075,1631204.1109999998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
1772,27.38,6,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,5.1,39739633,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
1776,26.34,6,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,5.1,826622,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
1778,28.97,6,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,5.1,15457075,1631204.1109999998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
1783,26.07,7,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,4.8,40097761,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
1787,26.13,7,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,4.8,834691,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
1789,27.86,7,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,4.8,15608369,1631204.1109999998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
1794,23.9,8,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,4.8,40097761,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
1798,25.4,8,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,4.8,834691,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
1800,24.67,8,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,4.8,15608369,1631204.1109999998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
1805,26.14,9,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,4.4,40097761,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
1809,25.52,9,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,4.4,834691,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
1811,26.93,9,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,4.4,15608369,1631204.1109999998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
1816,26.11,10,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,4.2,40528396,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
1820,26.2,10,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,4.2,842725,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
1822,25.99,10,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,4.2,15801768,1631204.1109999998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,outlier
1827,24.21,11,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,3.9,40528396,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,outlier
1831,24.01,11,2023,1000.0,1000.0,1411.7647058823532,200.0,58.82352941176471,0.0,11.764705882352942,0.0,11.764705882352942,3.9,842725,8457425.641999999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,outlier
