,Surrogate Keys,Product Name,Product Category,Province/Territory,Cost (Dollars),Month,Year,Quantity (g),Grams,Calories,Protein,Fat,Fiber,Sat.Fat,Carbs,Multiplier,Inflation,Population,GDP (Millions),Climate
16,17,Bacon,Meat,Quebec,4.96,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,8252179,1200434.0,semi-continental
17,18,Bacon,Meat,Ontario,5.16,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,13975516,2372230.0,semi-continental
18,19,Bacon,Meat,Manitoba,6.23,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,1324044,205297.0,cold continental
19,20,Bacon,Meat,Saskatchewan,5.88,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,1141537,233079.0,humid continental
20,21,Bacon,Meat,Alberta,6.38,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,4215506,971828.0,prairie-steppe
21,22,Bacon,Meat,British Columbia,6.12,2,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,4894147,815079.0,western maritime
22,23,Bacon,Meat,Canada,5.74,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,36313068,6175637.0,continental
23,24,Bacon,Meat,Newfoundland and Labrador,5.94,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,530175,97567.0,humid continental
24,25,Bacon,Meat,Prince Edward Island,5.31,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,147811,19603.0,humid continental
25,26,Bacon,Meat,Nova Scotia,5.69,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,947023,124436.0,eastern-maritime
26,27,Bacon,Meat,New Brunswick,5.69,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,764612,102717.0,semi-continental
27,28,Bacon,Meat,Quebec,5.72,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,8252179,1200434.0,semi-continental
28,29,Bacon,Meat,Ontario,5.34,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,13975516,2372230.0,semi-continental
29,30,Bacon,Meat,Manitoba,6.48,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,1324044,205297.0,cold continental
30,31,Bacon,Meat,Saskatchewan,5.97,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,1141537,233079.0,humid continental
31,32,Bacon,Meat,Alberta,6.48,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,4215506,971828.0,prairie-steppe
32,33,Bacon,Meat,British Columbia,6.23,3,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,4894147,815079.0,western maritime
33,34,Bacon,Meat,Canada,5.57,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,36397141,6175637.0,continental
34,35,Bacon,Meat,Newfoundland and Labrador,5.54,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,529700,97567.0,humid continental
35,36,Bacon,Meat,Prince Edward Island,5.28,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,148354,19603.0,humid continental
36,37,Bacon,Meat,Nova Scotia,5.29,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,948945,124436.0,eastern-maritime
37,38,Bacon,Meat,New Brunswick,5.38,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,764859,102717.0,semi-continental
38,39,Bacon,Meat,Quebec,4.81,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,8265839,1200434.0,semi-continental
39,40,Bacon,Meat,Ontario,5.56,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,14012209,2372230.0,semi-continental
40,41,Bacon,Meat,Manitoba,6.01,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,1328337,205297.0,cold continental
41,42,Bacon,Meat,Saskatchewan,5.78,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,1143829,233079.0,humid continental
42,43,Bacon,Meat,Alberta,6.41,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,4224933,971828.0,prairie-steppe
43,44,Bacon,Meat,British Columbia,6.0,4,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,4908971,815079.0,western maritime
44,45,Bacon,Meat,Canada,5.5,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,36397141,6175637.0,continental
45,46,Bacon,Meat,Newfoundland and Labrador,4.85,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,529700,97567.0,humid continental
46,47,Bacon,Meat,Prince Edward Island,4.72,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,148354,19603.0,humid continental
47,48,Bacon,Meat,Nova Scotia,4.78,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,948945,124436.0,eastern-maritime
48,49,Bacon,Meat,New Brunswick,4.83,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,764859,102717.0,semi-continental
49,50,Bacon,Meat,Quebec,5.11,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,8265839,1200434.0,semi-continental
50,51,Bacon,Meat,Ontario,5.55,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,14012209,2372230.0,semi-continental
51,52,Bacon,Meat,Manitoba,5.99,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,1328337,205297.0,cold continental
52,53,Bacon,Meat,Saskatchewan,5.73,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,1143829,233079.0,humid continental
53,54,Bacon,Meat,Alberta,6.21,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,4224933,971828.0,prairie-steppe
54,55,Bacon,Meat,British Columbia,6.11,5,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.0,4908971,815079.0,western maritime
55,56,Bacon,Meat,Canada,5.39,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,36397141,6175637.0,continental
56,57,Bacon,Meat,Newfoundland and Labrador,5.39,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,529700,97567.0,humid continental
57,58,Bacon,Meat,Prince Edward Island,4.82,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,148354,19603.0,humid continental
58,59,Bacon,Meat,Nova Scotia,4.8,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,948945,124436.0,eastern-maritime
59,60,Bacon,Meat,New Brunswick,4.84,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,764859,102717.0,semi-continental
60,61,Bacon,Meat,Quebec,5.57,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,8265839,1200434.0,semi-continental
61,62,Bacon,Meat,Ontario,5.33,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,14012209,2372230.0,semi-continental
62,63,Bacon,Meat,Manitoba,5.71,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,1328337,205297.0,cold continental
63,64,Bacon,Meat,Saskatchewan,5.39,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,1143829,233079.0,humid continental
64,65,Bacon,Meat,Alberta,5.66,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,4224933,971828.0,prairie-steppe
65,66,Bacon,Meat,British Columbia,5.6,6,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.1,4908971,815079.0,western maritime
66,67,Bacon,Meat,Canada,5.61,7,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,36545075,6175637.0,continental
67,68,Bacon,Meat,Newfoundland and Labrador,5.32,7,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,529742,97567.0,humid continental
68,69,Bacon,Meat,Prince Edward Island,5.17,7,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,149740,19603.0,humid continental
69,70,Bacon,Meat,Nova Scotia,5.25,7,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,952159,124436.0,eastern-maritime
70,71,Bacon,Meat,New Brunswick,5.36,7,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,766697,102717.0,semi-continental
71,72,Bacon,Meat,Quebec,6.05,7,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,8292832,1200434.0,semi-continental
72,73,Bacon,Meat,Ontario,5.37,7,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,14078499,2372230.0,semi-continental
73,74,Bacon,Meat,Manitoba,6.03,7,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,1334734,205297.0,cold continental
74,75,Bacon,Meat,Saskatchewan,5.51,7,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,1147315,233079.0,humid continental
75,76,Bacon,Meat,Alberta,6.11,7,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,4237310,971828.0,prairie-steppe
76,77,Bacon,Meat,British Columbia,5.91,7,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,4934202,815079.0,western maritime
77,78,Bacon,Meat,Canada,6.23,8,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,36545075,6175637.0,continental
78,79,Bacon,Meat,Newfoundland and Labrador,6.37,8,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,529742,97567.0,humid continental
79,80,Bacon,Meat,Prince Edward Island,5.69,8,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,149740,19603.0,humid continental
80,81,Bacon,Meat,Nova Scotia,5.78,8,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,952159,124436.0,eastern-maritime
81,82,Bacon,Meat,New Brunswick,5.76,8,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,766697,102717.0,semi-continental
82,83,Bacon,Meat,Quebec,6.57,8,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,8292832,1200434.0,semi-continental
83,84,Bacon,Meat,Ontario,6.1,8,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,14078499,2372230.0,semi-continental
84,85,Bacon,Meat,Manitoba,6.39,8,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,1334734,205297.0,cold continental
85,86,Bacon,Meat,Saskatchewan,6.02,8,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,1147315,233079.0,humid continental
86,87,Bacon,Meat,Alberta,6.55,8,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,4237310,971828.0,prairie-steppe
87,88,Bacon,Meat,British Columbia,6.37,8,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.2,4934202,815079.0,western maritime
88,89,Bacon,Meat,Canada,5.77,9,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,36545075,6175637.0,continental
89,90,Bacon,Meat,Newfoundland and Labrador,5.8,9,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,529742,97567.0,humid continental
90,91,Bacon,Meat,Prince Edward Island,5.35,9,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,149740,19603.0,humid continental
91,92,Bacon,Meat,Nova Scotia,5.53,9,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,952159,124436.0,eastern-maritime
92,93,Bacon,Meat,New Brunswick,5.53,9,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,766697,102717.0,semi-continental
93,94,Bacon,Meat,Quebec,5.82,9,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,8292832,1200434.0,semi-continental
94,95,Bacon,Meat,Ontario,5.47,9,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,14078499,2372230.0,semi-continental
95,96,Bacon,Meat,Manitoba,6.14,9,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,1334734,205297.0,cold continental
96,97,Bacon,Meat,Saskatchewan,5.95,9,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,1147315,233079.0,humid continental
97,98,Bacon,Meat,Alberta,6.44,9,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,4237310,971828.0,prairie-steppe
98,99,Bacon,Meat,British Columbia,6.33,9,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,4934202,815079.0,western maritime
99,100,Bacon,Meat,Canada,5.62,10,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,36722075,6175637.0,continental
100,101,Bacon,Meat,Newfoundland and Labrador,5.4,10,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,530153,97567.0,humid continental
101,102,Bacon,Meat,Prince Edward Island,4.95,10,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,150595,19603.0,humid continental
102,103,Bacon,Meat,Nova Scotia,5.13,10,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,956074,124436.0,eastern-maritime
103,104,Bacon,Meat,New Brunswick,5.09,10,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,768029,102717.0,semi-continental
104,105,Bacon,Meat,Quebec,5.3,10,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,8326075,1200434.0,semi-continental
105,106,Bacon,Meat,Ontario,5.6,10,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,14161084,2372230.0,semi-continental
106,107,Bacon,Meat,Manitoba,5.99,10,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,1340426,205297.0,cold continental
107,108,Bacon,Meat,Saskatchewan,5.69,10,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,1151044,233079.0,humid continental
108,109,Bacon,Meat,Alberta,6.17,10,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,4253530,971828.0,prairie-steppe
109,110,Bacon,Meat,British Columbia,6.13,10,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.3,4962706,815079.0,western maritime
110,111,Bacon,Meat,Canada,5.39,11,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.4,36722075,6175637.0,continental
111,112,Bacon,Meat,Newfoundland and Labrador,4.75,11,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.4,530153,97567.0,humid continental
112,113,Bacon,Meat,Prince Edward Island,4.82,11,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.4,150595,19603.0,humid continental
113,114,Bacon,Meat,Nova Scotia,4.94,11,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.4,956074,124436.0,eastern-maritime
114,115,Bacon,Meat,New Brunswick,5.05,11,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.4,768029,102717.0,semi-continental
115,116,Bacon,Meat,Quebec,5.85,11,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.4,8326075,1200434.0,semi-continental
116,117,Bacon,Meat,Ontario,5.26,11,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.4,14161084,2372230.0,semi-continental
117,118,Bacon,Meat,Manitoba,5.44,11,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.4,1340426,205297.0,cold continental
118,119,Bacon,Meat,Saskatchewan,5.39,11,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.4,1151044,233079.0,humid continental
119,120,Bacon,Meat,Alberta,5.61,11,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.4,4253530,971828.0,prairie-steppe
120,121,Bacon,Meat,British Columbia,5.69,11,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.4,4962706,815079.0,western maritime
121,122,Bacon,Meat,Canada,5.29,12,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,36722075,6175637.0,continental
122,123,Bacon,Meat,Newfoundland and Labrador,4.9,12,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,530153,97567.0,humid continental
123,124,Bacon,Meat,Prince Edward Island,4.76,12,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,150595,19603.0,humid continental
124,125,Bacon,Meat,Nova Scotia,4.86,12,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,956074,124436.0,eastern-maritime
125,126,Bacon,Meat,New Brunswick,4.91,12,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,768029,102717.0,semi-continental
126,127,Bacon,Meat,Quebec,5.28,12,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,8326075,1200434.0,semi-continental
127,128,Bacon,Meat,Ontario,5.12,12,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,14161084,2372230.0,semi-continental
128,129,Bacon,Meat,Manitoba,5.59,12,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,1340426,205297.0,cold continental
129,130,Bacon,Meat,Saskatchewan,5.57,12,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,1151044,233079.0,humid continental
130,131,Bacon,Meat,Alberta,5.92,12,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,4253530,971828.0,prairie-steppe
131,132,Bacon,Meat,British Columbia,5.97,12,2017,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,4962706,815079.0,western maritime
132,133,Bacon,Meat,Canada,5.79,1,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,36801579,6455467.0,continental
133,134,Bacon,Meat,Newfoundland and Labrador,4.94,1,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,529743,100218.0,humid continental
134,135,Bacon,Meat,Prince Edward Island,4.83,1,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,150619,20185.0,humid continental
135,136,Bacon,Meat,Nova Scotia,4.87,1,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,956711,128950.0,eastern-maritime
136,137,Bacon,Meat,New Brunswick,4.94,1,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,768146,106563.0,semi-continental
137,138,Bacon,Meat,Quebec,6.18,1,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,8338883,1261765.0,semi-continental
138,139,Bacon,Meat,Ontario,5.83,1,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,14199811,2478223.0,semi-continental
139,140,Bacon,Meat,Manitoba,6.01,1,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,1344198,211358.0,cold continental
140,141,Bacon,Meat,Saskatchewan,5.79,1,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,1152366,242701.0,humid continental
141,142,Bacon,Meat,Alberta,6.19,1,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,4263957,1012518.0,prairie-steppe
142,143,Bacon,Meat,British Columbia,6.15,1,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.6,4974712,858450.0,western maritime
143,144,Bacon,Meat,Canada,5.48,2,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,36801579,6455467.0,continental
144,145,Bacon,Meat,Newfoundland and Labrador,5.07,2,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,529743,100218.0,humid continental
145,146,Bacon,Meat,Prince Edward Island,5.02,2,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,150619,20185.0,humid continental
146,147,Bacon,Meat,Nova Scotia,5.19,2,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,956711,128950.0,eastern-maritime
147,148,Bacon,Meat,New Brunswick,5.19,2,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,768146,106563.0,semi-continental
148,149,Bacon,Meat,Quebec,5.42,2,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,8338883,1261765.0,semi-continental
149,150,Bacon,Meat,Ontario,5.28,2,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,14199811,2478223.0,semi-continental
150,151,Bacon,Meat,Manitoba,6.03,2,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,1344198,211358.0,cold continental
151,152,Bacon,Meat,Saskatchewan,5.78,2,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,1152366,242701.0,humid continental
152,153,Bacon,Meat,Alberta,6.13,2,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,4263957,1012518.0,prairie-steppe
153,154,Bacon,Meat,British Columbia,6.03,2,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,4974712,858450.0,western maritime
154,155,Bacon,Meat,Canada,5.65,3,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,36801579,6455467.0,continental
155,156,Bacon,Meat,Newfoundland and Labrador,5.51,3,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,529743,100218.0,humid continental
156,157,Bacon,Meat,Prince Edward Island,5.45,3,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,150619,20185.0,humid continental
157,158,Bacon,Meat,Nova Scotia,5.51,3,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,956711,128950.0,eastern-maritime
158,159,Bacon,Meat,New Brunswick,5.62,3,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,768146,106563.0,semi-continental
159,160,Bacon,Meat,Quebec,5.39,3,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,8338883,1261765.0,semi-continental
160,161,Bacon,Meat,Ontario,5.72,3,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,14199811,2478223.0,semi-continental
161,162,Bacon,Meat,Manitoba,5.73,3,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,1344198,211358.0,cold continental
162,163,Bacon,Meat,Saskatchewan,5.51,3,2018,500.0,500.0,2968.75,125.0,250.0,0.0,218.75,31.25,31.25,1.7,1152366,242701.0,humid continental
